INFO:root:"0": { "best_fitness":16.158041143071543,  "worst_fitness":16.158041143071543, "avg_fitness":16.158041143071546, "std_dev_fitness":3.552713678800501e-15, "avg_mutation_step":0.5 }
INFO:root:"1": { "best_fitness":15.676963390978864,  "worst_fitness":16.109619776860566, "avg_fitness":16.025105566611973, "std_dev_fitness":0.08359882601222149, "avg_mutation_step":0.9116860413802355 }
INFO:root:"2": { "best_fitness":15.524933031322968,  "worst_fitness":15.98344982180761, "avg_fitness":15.894230130685216, "std_dev_fitness":0.08056028641782399, "avg_mutation_step":0.5528692251184834 }
INFO:root:"3": { "best_fitness":15.461373871154324,  "worst_fitness":15.82558885232164, "avg_fitness":15.726614911715957, "std_dev_fitness":0.09370937329021624, "avg_mutation_step":0.8422508551928098 }
INFO:root:"4": { "best_fitness":14.88956975354716,  "worst_fitness":15.668457419405238, "avg_fitness":15.527158575667277, "std_dev_fitness":0.14452412700733028, "avg_mutation_step":1.487362009821416 }
INFO:root:"5": { "best_fitness":14.746533865336724,  "worst_fitness":15.43650428144175, "avg_fitness":15.286997381645651, "std_dev_fitness":0.13360251933176615, "avg_mutation_step":1.8117887457429818 }
INFO:root:"6": { "best_fitness":13.964234064881428,  "worst_fitness":15.093847431900038, "avg_fitness":14.909316124586105, "std_dev_fitness":0.1965526626805728, "avg_mutation_step":2.6927898788789726 }
INFO:root:"7": { "best_fitness":13.368282373357466,  "worst_fitness":14.626055917234796, "avg_fitness":14.374481194628803, "std_dev_fitness":0.2124888855098279, "avg_mutation_step":2.247690658883243 }
INFO:root:"8": { "best_fitness":12.744818267519513,  "worst_fitness":13.924730141751862, "avg_fitness":13.664002437830714, "std_dev_fitness":0.2361124976953867, "avg_mutation_step":1.9724491108401614 }
INFO:root:"9": { "best_fitness":12.38637575307408,  "worst_fitness":13.427338113103737, "avg_fitness":13.186479124078359, "std_dev_fitness":0.21733252698246258, "avg_mutation_step":2.2281829295718887 }
INFO:root:"10": { "best_fitness":11.1989213927608,  "worst_fitness":12.681424596548172, "avg_fitness":12.386403534050185, "std_dev_fitness":0.3129088958977058, "avg_mutation_step":3.881281591136598 }
INFO:root:"11": { "best_fitness":10.427209746002355,  "worst_fitness":12.124158294786348, "avg_fitness":11.71750361980612, "std_dev_fitness":0.35794653962987566, "avg_mutation_step":5.966919462444499 }
INFO:root:"12": { "best_fitness":9.687073818518295,  "worst_fitness":11.514633518114945, "avg_fitness":11.076660655822234, "std_dev_fitness":0.40128050315136915, "avg_mutation_step":4.162680787675131 }
INFO:root:"13": { "best_fitness":8.606831842038517,  "worst_fitness":10.889207099528328, "avg_fitness":10.402200701314763, "std_dev_fitness":0.4230652124921369, "avg_mutation_step":2.9666612064293307 }
INFO:root:"14": { "best_fitness":8.606831842038517,  "worst_fitness":9.80747720469864, "avg_fitness":9.44175618704859, "std_dev_fitness":0.31354002639771994, "avg_mutation_step":1.2092402124032784 }
INFO:root:"15": { "best_fitness":7.149211691968434,  "worst_fitness":8.583854674398342, "avg_fitness":8.244146976496422, "std_dev_fitness":0.2435216709843124, "avg_mutation_step":1.1946426430418204 }
INFO:root:"16": { "best_fitness":6.46240458941352,  "worst_fitness":7.321382066216014, "avg_fitness":7.061643136536398, "std_dev_fitness":0.1947720128513296, "avg_mutation_step":0.45190678888365443 }
INFO:root:"17": { "best_fitness":5.3498313224519,  "worst_fitness":6.472889774477277, "avg_fitness":6.28839166885054, "std_dev_fitness":0.1784950205321209, "avg_mutation_step":0.6302391001834163 }
INFO:root:"18": { "best_fitness":5.215312441446358,  "worst_fitness":5.933846004145595, "avg_fitness":5.7382731785550325, "std_dev_fitness":0.1717668446241295, "avg_mutation_step":1.072084256344934 }
INFO:root:"19": { "best_fitness":5.0270770360894765,  "worst_fitness":5.735107541063629, "avg_fitness":5.537110993621084, "std_dev_fitness":0.17982686714947899, "avg_mutation_step":2.5045275858226095 }
INFO:root:"20": { "best_fitness":4.809607630616821,  "worst_fitness":5.5452988384312185, "avg_fitness":5.327215560704544, "std_dev_fitness":0.14553656799922288, "avg_mutation_step":2.8515217997796602 }
INFO:root:"21": { "best_fitness":4.806491354648159,  "worst_fitness":5.321023416330169, "avg_fitness":5.165949711488173, "std_dev_fitness":0.12170037885625165, "avg_mutation_step":1.9242702075253333 }
INFO:root:"22": { "best_fitness":4.687429863753369,  "worst_fitness":5.198915396941592, "avg_fitness":5.031987284217284, "std_dev_fitness":0.12060416666742614, "avg_mutation_step":1.3055382060537084 }
INFO:root:"23": { "best_fitness":4.122697111289305,  "worst_fitness":5.045128398194674, "avg_fitness":4.8960584639694416, "std_dev_fitness":0.1477900877557852, "avg_mutation_step":1.2057868341012403 }
INFO:root:"24": { "best_fitness":3.3986855222957324,  "worst_fitness":4.905893537160207, "avg_fitness":4.667368716063205, "std_dev_fitness":0.22560816658227123, "avg_mutation_step":1.4412093318113288 }
INFO:root:"25": { "best_fitness":2.88740821547988,  "worst_fitness":4.353971470997713, "avg_fitness":4.061885837574825, "std_dev_fitness":0.24967105763110206, "avg_mutation_step":0.4664278031974543 }
INFO:root:"26": { "best_fitness":2.865933503947403,  "worst_fitness":3.5037203811889377, "avg_fitness":3.319521663461523, "std_dev_fitness":0.15395374750908308, "avg_mutation_step":0.18931551131604965 }
INFO:root:"27": { "best_fitness":2.311627527474773,  "worst_fitness":2.925824028161415, "avg_fitness":2.7979300989763947, "std_dev_fitness":0.10172859991023557, "avg_mutation_step":0.2058227654349065 }
