INFO:root:"0": { "best_fitness":16.15921451957805,  "worst_fitness":16.15921451957805, "avg_fitness":16.15921451957805, "std_dev_fitness":0.0, "avg_mutation_step":0.5 }
INFO:root:"1": { "best_fitness":15.552547127010676,  "worst_fitness":15.910588789833906, "avg_fitness":15.831222937464846, "std_dev_fitness":0.07115073802126398, "avg_mutation_step":0.6642859981443588 }
INFO:root:"2": { "best_fitness":15.389089270811356,  "worst_fitness":15.808600387305203, "avg_fitness":15.72289855078192, "std_dev_fitness":0.07625626400409174, "avg_mutation_step":2.2213906842101645 }
INFO:root:"3": { "best_fitness":15.389089270811356,  "worst_fitness":15.770876730378362, "avg_fitness":15.681088702693318, "std_dev_fitness":0.07848433315882354, "avg_mutation_step":5.579576961243095 }
INFO:root:"4": { "best_fitness":15.077391447043123,  "worst_fitness":15.72255246543989, "avg_fitness":15.622615750271004, "std_dev_fitness":0.08897801214710721, "avg_mutation_step":4.1858577926992835 }
INFO:root:"5": { "best_fitness":14.926085883408458,  "worst_fitness":15.653429340591417, "avg_fitness":15.524912252678812, "std_dev_fitness":0.13782696388055626, "avg_mutation_step":2.6718483159859763 }
INFO:root:"6": { "best_fitness":14.926085883408458,  "worst_fitness":15.494818138526647, "avg_fitness":15.299703821083835, "std_dev_fitness":0.14298224997899261, "avg_mutation_step":4.794364663329361 }
INFO:root:"7": { "best_fitness":14.743625198488868,  "worst_fitness":15.299135701243816, "avg_fitness":15.136658346536478, "std_dev_fitness":0.14013361958735807, "avg_mutation_step":5.452164985665 }
INFO:root:"8": { "best_fitness":14.590770140172475,  "worst_fitness":15.141762004176845, "avg_fitness":14.999923793689685, "std_dev_fitness":0.11279459673938214, "avg_mutation_step":8.813528247020109 }
INFO:root:"9": { "best_fitness":14.590770140172475,  "worst_fitness":15.053205183760118, "avg_fitness":14.908474715188301, "std_dev_fitness":0.10395687948775695, "avg_mutation_step":6.233557717868322 }
INFO:root:"10": { "best_fitness":14.56396077722754,  "worst_fitness":14.938901113690463, "avg_fitness":14.832369329472337, "std_dev_fitness":0.08919921285288046, "avg_mutation_step":12.498803480750965 }
INFO:root:"11": { "best_fitness":14.56396077722754,  "worst_fitness":14.871651335309721, "avg_fitness":14.775501026723578, "std_dev_fitness":0.07404395492107556, "avg_mutation_step":24.00562773763371 }
INFO:root:"12": { "best_fitness":14.56396077722754,  "worst_fitness":14.813672596587468, "avg_fitness":14.736536892246361, "std_dev_fitness":0.06070117983964596, "avg_mutation_step":30.62627751306899 }
INFO:root:"13": { "best_fitness":14.514065148273682,  "worst_fitness":14.785873776317342, "avg_fitness":14.70660842622312, "std_dev_fitness":0.0570884579872403, "avg_mutation_step":39.161600768758426 }
INFO:root:"14": { "best_fitness":14.514065148273682,  "worst_fitness":14.73375206595868, "avg_fitness":14.668937551376144, "std_dev_fitness":0.04809793946887953, "avg_mutation_step":43.91389364061189 }
INFO:root:"15": { "best_fitness":14.514065148273682,  "worst_fitness":14.712396353352595, "avg_fitness":14.653420351577916, "std_dev_fitness":0.04460267640473792, "avg_mutation_step":237.8415579468817 }
INFO:root:"16": { "best_fitness":14.514065148273682,  "worst_fitness":14.690732960927352, "avg_fitness":14.633699392995213, "std_dev_fitness":0.0419904190138745, "avg_mutation_step":383.1949746895972 }
INFO:root:"17": { "best_fitness":14.465420977524094,  "worst_fitness":14.663180509638746, "avg_fitness":14.601305103401671, "std_dev_fitness":0.04840723750166427, "avg_mutation_step":308.95232436511395 }
INFO:root:"18": { "best_fitness":14.338952163444336,  "worst_fitness":14.637934017344307, "avg_fitness":14.573960980796121, "std_dev_fitness":0.05415313366850208, "avg_mutation_step":387.2468979753231 }
INFO:root:"19": { "best_fitness":14.338952163444336,  "worst_fitness":14.616672038404278, "avg_fitness":14.546770268973985, "std_dev_fitness":0.05815252797951133, "avg_mutation_step":587.2151743820051 }
INFO:root:"20": { "best_fitness":14.338952163444336,  "worst_fitness":14.582614857114505, "avg_fitness":14.519609659584106, "std_dev_fitness":0.05741140005721427, "avg_mutation_step":482.5048077155605 }
INFO:root:"21": { "best_fitness":14.319405313357098,  "worst_fitness":14.557138302969829, "avg_fitness":14.491604915131699, "std_dev_fitness":0.054815315282315556, "avg_mutation_step":934.4646994393629 }
INFO:root:"22": { "best_fitness":14.29706300258068,  "worst_fitness":14.507123388361869, "avg_fitness":14.448323869080378, "std_dev_fitness":0.05273679749362083, "avg_mutation_step":927.9149674429226 }
INFO:root:"23": { "best_fitness":14.29706300258068,  "worst_fitness":14.477352501776949, "avg_fitness":14.41790131787513, "std_dev_fitness":0.045596408827878264, "avg_mutation_step":1503.5324888933558 }
INFO:root:"24": { "best_fitness":14.29706300258068,  "worst_fitness":14.434402165218058, "avg_fitness":14.388306227291098, "std_dev_fitness":0.03545464010126988, "avg_mutation_step":3075.794483086514 }
INFO:root:"25": { "best_fitness":14.29706300258068,  "worst_fitness":14.408234985000407, "avg_fitness":14.370217448267272, "std_dev_fitness":0.029224414067925846, "avg_mutation_step":1355.903767093246 }
INFO:root:"26": { "best_fitness":14.29706300258068,  "worst_fitness":14.395960927935048, "avg_fitness":14.355150237956817, "std_dev_fitness":0.02766562433467268, "avg_mutation_step":1961.3307869667572 }
INFO:root:"27": { "best_fitness":14.29706300258068,  "worst_fitness":14.366030413683058, "avg_fitness":14.337947254118426, "std_dev_fitness":0.01938404010715373, "avg_mutation_step":4665.238059098326 }
